Date,Close/Last,Volume,Open,High,Low
11/28/2025,$217.53,18657990,$216.135,$218.30,$214.02
11/26/2025,$214.24,43270240,$210.05,$215.5899,$207.00
11/25/2025,$206.13,69773500,$201.475,$206.58,$194.275
11/24/2025,$215.05,46749560,$207.16,$217.13,$205.85
11/21/2025,$203.78,67421150,$208.805,$208.83,$195.00
11/20/2025,$206.02,66342870,$232.70,$234.25,$204.53
11/19/2025,$223.55,52093450,$230.26,$235.2799,$219.7101
11/18/2025,$230.29,45619850,$236.78,$238.00,$224.71
11/17/2025,$240.52,37942210,$242.745,$248.77,$237.15
11/14/2025,$246.81,47655640,$240.11,$253.44,$235.08
11/13/2025,$247.96,63178590,$251.90,$259.6309,$246.06
11/12/2025,$258.89,108942000,$253.13,$263.51,$250.00
11/11/2025,$237.52,61336770,$241.655,$248.46,$234.64
11/10/2025,$243.98,43361640,$242.135,$248.90,$240.50
11/07/2025,$233.54,52162580,$230.94,$235.87,$224.6401
11/06/2025,$237.70,66049700,$253.465,$253.51,$235.74
11/05/2025,$256.33,67366570,$243.24,$259.65,$242.805
11/04/2025,$250.05,56491830,$250.35,$257.38,$247.39
11/03/2025,$259.65,36351420,$259.33,$260.91,$253.89
10/31/2025,$256.12,34449210,$259.60,$262.13,$253.4064
10/30/2025,$254.84,45162490,$259.92,$263.88,$252.31
10/29/2025,$264.33,49335590,$264.19,$267.0799,$257.4044
10/28/2025,$258.01,47448670,$259.14,$264.58,$257.00
10/27/2025,$259.67,65613110,$257.88,$260.42,$249.8001
10/24/2025,$252.92,71221140,$243.36,$253.39,$241.95
10/23/2025,$234.99,39024430,$230.16,$235.90,$228.54
10/22/2025,$230.23,59668780,$236.85,$240.1324,$224.88
10/21/2025,$238.03,47122390,$239.39,$242.26,$234.02
10/20/2025,$240.56,56741700,$236.465,$242.88,$234.40
10/17/2025,$233.08,55804200,$233.26,$235.38,$227.91
10/16/2025,$234.56,69726440,$236.285,$241.20,$232.24
10/15/2025,$238.60,108481000,$222.705,$239.24,$220.7601
10/14/2025,$218.09,71216270,$219.20,$224.98,$215.90
10/13/2025,$216.42,63104020,$220.20,$224.1899,$214.90
10/10/2025,$214.90,118656600,$232.77,$234.22,$213.2001
10/09/2025,$232.89,94290740,$236.30,$240.10,$229.53
10/08/2025,$235.56,159983500,$212.95,$235.87,$210.695
10/07/2025,$211.51,115748100,$214.85,$218.90,$209.28
10/06/2025,$203.71,248859600,$226.445,$226.709,$203.01
10/03/2025,$164.67,42699150,$170.68,$170.68,$163.14
