Date,Close/Last,Volume,Open,High,Low
11/28/2025,$233.22,20292330,$231.24,$233.285,$230.22
11/26/2025,$229.16,38497920,$230.74,$231.7474,$228.77
11/25/2025,$229.67,39379340,$226.38,$230.52,$223.80
11/24/2025,$226.28,54318400,$222.555,$227.33,$222.27
11/21/2025,$220.69,68490460,$216.345,$222.21,$215.18
11/20/2025,$217.14,50308960,$227.05,$227.41,$216.74
11/19/2025,$222.69,58335640,$223.735,$223.735,$218.52
11/18/2025,$222.55,60608440,$228.10,$230.20,$222.42
11/17/2025,$232.87,59919020,$233.25,$234.60,$229.19
11/14/2025,$234.69,38956670,$235.06,$238.73,$232.89
11/13/2025,$237.58,41401740,$243.05,$243.75,$236.50
11/12/2025,$244.20,31190060,$250.235,$250.37,$243.75
11/11/2025,$249.10,23564060,$248.41,$249.7499,$247.23
11/10/2025,$248.40,36476510,$248.34,$251.75,$245.59
11/07/2025,$244.41,46374290,$242.90,$244.90,$238.49
11/06/2025,$243.04,46004200,$249.155,$250.38,$242.17
11/05/2025,$250.20,40610700,$249.03,$251.00,$246.16
11/04/2025,$249.32,51546310,$250.38,$257.01,$248.66
11/03/2025,$254.00,95997820,$255.36,$258.60,$252.90
10/31/2025,$244.22,166340800,$250.10,$250.50,$243.98
10/30/2025,$222.86,102252900,$227.06,$228.44,$222.75
10/29/2025,$230.30,52036150,$231.672,$232.82,$227.76
10/28/2025,$229.25,47100030,$228.215,$231.485,$226.21
10/27/2025,$226.97,38267000,$227.66,$228.40,$225.54
10/24/2025,$224.21,38685050,$221.97,$225.40,$221.90
10/23/2025,$221.09,31540000,$219.00,$221.30,$218.18
10/22/2025,$217.95,44308540,$219.30,$220.005,$216.52
10/21/2025,$222.03,50494570,$218.43,$223.32,$217.99
10/20/2025,$216.48,38882820,$213.88,$216.69,$213.59
10/17/2025,$213.04,45986940,$214.56,$214.80,$211.03
10/16/2025,$214.47,42414590,$215.67,$218.59,$212.8101
10/15/2025,$215.57,45909470,$216.62,$217.71,$212.66
10/14/2025,$216.39,45665580,$215.555,$219.32,$212.60
10/13/2025,$220.07,37809650,$217.70,$220.68,$217.04
10/10/2025,$216.37,72367510,$226.21,$228.25,$216.00
10/09/2025,$227.74,46412120,$224.995,$228.21,$221.75
10/08/2025,$225.22,46685990,$222.92,$226.73,$221.19
10/07/2025,$221.78,31194680,$220.88,$222.89,$220.17
10/06/2025,$220.90,43690880,$221.00,$221.73,$216.03
