Date,Close/Last,Volume,Open,High,Low
11/28/2025,$76.94,7320910,$76.14,$76.96,$75.81
11/26/2025,$76.07,15972620,$76.455,$76.60,$75.34
11/25/2025,$76.32,18818800,$76.49,$77.06,$76.075
11/24/2025,$76.24,26691470,$76.49,$76.88,$75.68
11/21/2025,$76.10,24428760,$75.64,$76.94,$75.47
11/20/2025,$75.44,27381870,$79.12,$80.055,$75.32
11/19/2025,$78.39,24759660,$77.30,$78.93,$77.16
11/18/2025,$77.37,26025480,$77.55,$78.20,$76.45
11/17/2025,$77.78,28720150,$77.885,$79.39,$77.465
11/14/2025,$78.00,38819560,$76.58,$78.665,$75.8401
11/13/2025,$77.38,57638530,$77.95,$79.50,$76.65
11/12/2025,$73.96,57591650,$71.905,$74.21,$71.72
11/11/2025,$71.71,21412890,$71.74,$72.25,$71.095
11/10/2025,$72.09,22201250,$71.76,$72.50,$71.1539
11/07/2025,$71.07,16913730,$71.385,$71.585,$70.54
11/06/2025,$71.04,16469950,$71.71,$72.23,$70.6903
11/05/2025,$72.10,16113480,$72.22,$72.58,$71.34
11/04/2025,$72.32,22345030,$73.90,$73.99,$71.98
11/03/2025,$74.45,21733390,$74.61,$74.838,$73.6243
10/31/2025,$73.11,24008000,$72.72,$73.48,$72.43
10/30/2025,$72.91,18101770,$71.37,$73.11,$71.34
10/29/2025,$71.33,18020590,$72.68,$72.82,$70.915
10/28/2025,$72.62,19896780,$71.20,$72.68,$71.03
10/27/2025,$71.39,15986780,$70.54,$71.46,$70.43
10/24/2025,$70.63,13075550,$70.635,$70.94,$70.06
10/23/2025,$70.27,14614130,$70.60,$71.235,$70.23
10/22/2025,$70.66,14967250,$70.86,$70.97,$69.85
10/21/2025,$70.72,15763350,$70.58,$71.2375,$70.38
10/20/2025,$70.65,12183520,$70.12,$70.97,$70.12
10/17/2025,$70.13,16286930,$69.06,$70.77,$68.95
10/16/2025,$69.09,13950640,$69.78,$70.07,$68.57
10/15/2025,$69.52,16260540,$69.305,$70.2999,$68.82
10/14/2025,$68.66,15402050,$67.11,$69.16,$66.8131
10/13/2025,$67.46,14127950,$68.55,$68.89,$67.13
10/10/2025,$67.94,20961510,$70.41,$70.8093,$67.89
10/09/2025,$69.96,21209480,$70.31,$70.62,$69.03
10/08/2025,$70.33,34246260,$69.81,$70.755,$69.00
10/07/2025,$68.985,16493160,$68.915,$69.225,$68.445
10/06/2025,$68.91,21952720,$68.435,$68.95,$67.81
10/03/2025,$67.92,11113180,$67.95,$68.585,$67.65
10/02/2025,$68.31,15708260,$69.175,$69.49,$68.255
10/01/2025,$68.75,15530720,$67.90,$68.82,$67.69
09/30/2025,$68.42,20498940,$67.705,$68.77,$67.69
09/29/2025,$67.72,14358250,$67.715,$67.95,$67.44
09/26/2025,$67.22,15077410,$67.87,$67.91,$66.85
09/25/2025,$67.85,22351680,$67.32,$68.235,$67.1101
09/24/2025,$67.32,17433100,$67.70,$67.865,$66.89
09/23/2025,$67.54,22240010,$67.58,$68.22,$67.07
09/22/2025,$67.75,20396680,$67.86,$68.00,$67.30
09/19/2025,$68.21,47822500,$68.92,$68.92,$67.1802
09/18/2025,$68.68,20279010,$67.90,$68.76,$67.48
09/17/2025,$67.72,18652120,$67.00,$67.88,$66.38
09/16/2025,$66.93,18019320,$67.02,$67.38,$66.55
09/15/2025,$67.02,16203090,$66.505,$67.20,$66.345
09/12/2025,$66.53,18529180,$66.88,$67.34,$66.13
09/11/2025,$67.69,17560790,$68.31,$68.57,$67.505
09/10/2025,$68.13,14689480,$67.59,$68.32,$67.12
09/09/2025,$67.34,11649370,$66.74,$67.435,$66.64
09/08/2025,$66.88,14038020,$66.72,$67.005,$66.35
09/05/2025,$66.90,21050790,$67.715,$68.10,$66.48
