Date,Close/Last,Volume,Open,High,Low
11/28/2025,$168.09,5068827,$165.03,$168.19,$164.13
11/26/2025,$165.14,7967687,$164.12,$166.25,$163.15
11/25/2025,$163.30,7758117,$163.99,$164.97,$161.8739
11/24/2025,$165.06,12070080,$164.37,$166.94,$163.72
11/21/2025,$163.30,10815050,$160.75,$165.27,$159.10
11/20/2025,$159.59,12075370,$167.13,$168.88,$158.85
11/19/2025,$166.11,8176450,$164.69,$167.51,$164.11
11/18/2025,$165.06,11073250,$164.89,$166.79,$161.39
11/17/2025,$166.75,10211090,$172.80,$174.84,$165.17
11/14/2025,$173.98,7949889,$171.775,$175.69,$171.40
11/13/2025,$174.50,9526052,$176.63,$178.83,$173.03
11/12/2025,$176.67,8785819,$175.00,$177.42,$174.88
11/11/2025,$173.98,8419074,$171.00,$175.98,$171.00
11/10/2025,$171.57,10129280,$173.755,$174.7975,$169.50
11/07/2025,$170.89,10614710,$172.725,$174.25,$168.25
11/06/2025,$173.20,16184720,$177.80,$178.51,$170.06
11/05/2025,$179.72,18845530,$174.76,$183.429,$174.32
11/04/2025,$172.84,12323610,$177.48,$179.34,$172.29
11/03/2025,$180.72,8535148,$182.95,$183.45,$179.09
10/31/2025,$180.90,9452781,$178.52,$182.15,$176.83
10/30/2025,$177.26,7862891,$178.68,$179.88,$177.19
10/29/2025,$178.67,11614580,$182.00,$183.49,$178.20
10/28/2025,$181.03,20323130,$183.925,$185.91,$179.41
10/27/2025,$187.68,81799260,$168.95,$205.95,$168.82
10/24/2025,$168.94,6255987,$171.69,$172.42,$168.47
10/23/2025,$170.03,6546403,$168.33,$171.25,$167.88
10/22/2025,$169.27,10083800,$167.49,$169.78,$166.02
10/21/2025,$168.83,6176069,$166.80,$169.24,$166.20
10/20/2025,$167.04,8194111,$163.34,$167.65,$162.06
10/17/2025,$163.45,4833067,$162.86,$163.79,$161.67
10/16/2025,$164.08,5686686,$164.49,$165.189,$162.21
10/15/2025,$162.97,7334149,$164.24,$164.24,$160.31
10/14/2025,$161.74,8675208,$159.30,$164.265,$159.265
10/13/2025,$161.78,10311040,$155.95,$162.39,$155.78
10/10/2025,$153.59,15818650,$164.82,$165.09,$153.35
10/09/2025,$165.66,6928402,$167.365,$167.61,$163.23
10/08/2025,$167.77,7302175,$166.24,$168.55,$163.885
10/07/2025,$165.46,7147516,$169.90,$171.98,$165.14
10/06/2025,$168.62,8265822,$170.54,$170.88,$167.72
10/03/2025,$169.18,5137913,$168.85,$171.75,$168.74
10/02/2025,$168.85,5499494,$167.75,$169.54,$167.18
10/01/2025,$166.49,6153017,$165.80,$166.77,$164.49
09/30/2025,$166.36,5593278,$165.64,$166.8356,$164.8796
09/29/2025,$165.30,7523124,$169.20,$169.84,$164.76
09/26/2025,$169.20,4846018,$169.68,$170.93,$168.1325
09/25/2025,$169.68,8093721,$171.21,$171.97,$167.935
09/24/2025,$173.55,9213654,$169.05,$174.44,$168.67
09/23/2025,$169.53,5468356,$169.82,$170.8476,$168.30
09/22/2025,$169.72,6196606,$166.85,$170.22,$165.92
09/19/2025,$166.85,19444430,$169.17,$169.58,$166.29
09/18/2025,$168.13,10421220,$166.88,$168.86,$166.225
09/17/2025,$165.26,6057848,$164.68,$166.3688,$163.23
09/16/2025,$164.14,7997458,$161.82,$165.00,$161.50
09/15/2025,$161.22,5604785,$161.40,$162.68,$160.21
09/12/2025,$161.83,5430605,$161.33,$162.33,$159.58
09/11/2025,$161.51,8360155,$159.19,$162.07,$157.96
09/10/2025,$158.95,8256930,$158.62,$159.21,$156.6101
09/09/2025,$158.66,6125983,$160.37,$161.605,$157.57
09/08/2025,$160.24,7019709,$160.29,$160.29,$158.01
09/05/2025,$159.84,7954191,$160.08,$163.49,$159.15
09/04/2025,$159.71,7781194,$156.20,$159.86,$154.47
09/03/2025,$157.28,6336394,$159.395,$159.57,$156.06
09/02/2025,$158.78,7520324,$157.82,$158.94,$154.60
08/29/2025,$160.73,9949092,$159.53,$161.595,$159.40
08/28/2025,$160.80,8156289,$159.905,$161.22,$159.03
08/27/2025,$159.77,4549850,$158.36,$159.97,$157.80
08/26/2025,$159.17,9173048,$157.66,$159.96,$157.41
08/25/2025,$156.42,4653018,$157.61,$158.05,$155.40
08/22/2025,$158.01,7711478,$154.83,$159.89,$154.56
08/21/2025,$154.13,4997281,$154.82,$155.20,$153.05
08/20/2025,$155.44,7151699,$156.39,$156.64,$153.46
08/19/2025,$156.25,6396532,$159.07,$159.43,$156.05
08/18/2025,$158.90,4774409,$157.78,$159.75,$157.24
08/15/2025,$157.85,7583742,$158.04,$159.26,$156.6908
08/14/2025,$158.09,6294848,$154.90,$158.65,$154.90
08/13/2025,$156.59,7103331,$153.97,$157.11,$153.63
08/12/2025,$153.73,9307675,$148.795,$153.90,$148.565
08/11/2025,$147.97,6215927,$148.575,$151.06,$147.71
08/08/2025,$147.56,5028685,$146.35,$148.02,$145.69
08/07/2025,$145.90,6753460,$148.32,$148.32,$144.81
08/06/2025,$145.84,8475658,$146.645,$146.71,$144.11
08/05/2025,$146.71,7794509,$148.52,$148.65,$145.67
08/04/2025,$147.51,8150186,$148.51,$150.79,$147.075
08/01/2025,$148.19,12706710,$146.46,$149.165,$145.79
07/31/2025,$146.76,24440140,$153.11,$156.8039,$145.5776
07/30/2025,$159.06,14382460,$163.00,$163.27,$158.00
07/29/2025,$162.08,9460889,$162.035,$163.60,$161.14
07/28/2025,$161.05,9627310,$159.76,$161.96,$159.16
07/25/2025,$158.40,4808242,$158.90,$159.20,$157.41
07/24/2025,$158.84,5014820,$158.345,$159.09,$156.789
07/23/2025,$159.88,7296150,$158.59,$160.04,$156.93
07/22/2025,$157.99,6951574,$158.955,$159.04,$156.17
07/21/2025,$158.97,7662335,$154.92,$159.93,$154.91
07/18/2025,$154.80,7433858,$153.04,$155.43,$152.73
07/17/2025,$152.61,7018604,$153.00,$153.5299,$151.80
07/16/2025,$154.07,7106685,$154.30,$154.50,$151.5401
07/15/2025,$154.30,6467332,$156.29,$156.71,$154.12
07/14/2025,$154.29,7382550,$156.42,$156.495,$153.48
07/11/2025,$157.46,5907658,$159.00,$159.17,$157.15
07/10/2025,$159.09,5675549,$158.99,$160.29,$157.79
07/09/2025,$159.35,4190120,$159.40,$161.4838,$158.25
07/08/2025,$159.45,6879080,$159.47,$161.83,$158.61
07/07/2025,$158.09,7187449,$161.11,$161.49,$157.57
07/03/2025,$162.21,4280773,$163.045,$163.9573,$162.09
07/02/2025,$162.32,8916394,$159.68,$162.79,$158.80
07/01/2025,$159.40,8942314,$158.22,$161.65,$157.98
06/30/2025,$159.26,7988244,$158.39,$159.86,$157.80
06/27/2025,$158.54,22100340,$158.65,$161.10,$157.57
06/26/2025,$158.19,6278199,$156.50,$158.42,$155.91
06/25/2025,$155.93,5280104,$156.10,$156.5317,$154.59
06/24/2025,$155.71,7692670,$154.73,$156.30,$154.15
06/23/2025,$153.14,6860687,$151.23,$153.52,$149.683
06/20/2025,$151.32,15501850,$154.23,$155.12,$150.63
